"Polygon_Number","Coordinate_Order","Coordinate_ID","Longitude","Latitude"
"1",1,"1_1",-4.675,44.15
"1",2,"1_2",-4.675,44.15
"1",3,"1_3",-4.675,44.125
"1",4,"1_4",-4.7,44.125
"1",5,"1_5",-4.725,44.125
"1",6,"1_6",-4.725,44.1
"1",7,"1_7",-4.725,44.075
"1",8,"1_8",-4.725,44.05
"1",9,"1_9",-4.725,44.025
"1",10,"1_10",-4.7,44.025
"1",11,"1_11",-4.675,44.025
"1",12,"1_12",-4.675,44
"1",13,"1_13",-4.65,44
"1",14,"1_14",-4.6,44
"1",15,"1_15",-4.6,44.05
"1",16,"1_16",-4.55,44.05
"1",17,"1_17",-4.5,44.05
"1",18,"1_18",-4.5,44.1
"1",19,"1_19",-4.5,44.15
"1",20,"1_20",-4.55,44.15
"1",21,"1_21",-4.6,44.15
"1",22,"1_22",-4.65,44.15
"1",23,"1_23",-4.675,44.15
"2",1,"2_1",-4.875,44
"2",2,"2_2",-4.875,44.025
"2",3,"2_3",-4.875,44.05
"2",4,"2_4",-4.875,44.075
"2",5,"2_5",-4.85,44.075
"2",6,"2_6",-4.825,44.075
"2",7,"2_7",-4.825,44.1
"2",8,"2_8",-4.825,44.125
"2",9,"2_9",-4.825,44.15
"2",10,"2_10",-4.825,44.15
"2",11,"2_11",-4.85,44.15
"2",12,"2_12",-4.9,44.15
"2",13,"2_13",-4.95,44.15
"2",14,"2_14",-5,44.15
"2",15,"2_15",-5.05,44.15
"2",16,"2_16",-5.1,44.15
"2",17,"2_17",-5.15,44.15
"2",18,"2_18",-5.2,44.15
"2",19,"2_19",-5.2,44.1
"2",20,"2_20",-5.2,44.05
"2",21,"2_21",-5.2,44
"2",22,"2_22",-5.15,44
"2",23,"2_23",-5.1,44
"2",24,"2_24",-5.05,44
"2",25,"2_25",-5,44
"2",26,"2_26",-4.95,44
"2",27,"2_27",-4.9,44
"2",28,"2_28",-4.875,44
"3",1,"3_1",-13.775,56.7
"3",2,"3_2",-13.775,56.7
"3",3,"3_3",-13.775,56.675
"3",4,"3_4",-13.75,56.675
"3",5,"3_5",-13.75,56.7
"3",6,"3_6",-13.775,56.7
"4a",1,"4a_1",-14.975,55.95
"4a",2,"4a_2",-14.975,55.95
"4a",3,"4a_3",-14.975,55.925
"4a",4,"4a_4",-14.95,55.925
"4a",5,"4a_5",-14.925,55.925
"4a",6,"4a_6",-14.9,55.925
"4a",7,"4a_7",-14.875,55.925
"4a",8,"4a_8",-14.875,55.9
"4a",9,"4a_9",-14.875,55.875
"4a",10,"4a_10",-14.875,55.85
"4a",11,"4a_11",-14.875,55.825
"4a",12,"4a_12",-14.85,55.825
"4a",13,"4a_13",-14.825,55.825
"4a",14,"4a_14",-14.8,55.825
"4a",15,"4a_15",-14.775,55.825
"4a",16,"4a_16",-14.775,55.85
"4a",17,"4a_17",-14.775,55.875
"4a",18,"4a_18",-14.75,55.875
"4a",19,"4a_19",-14.725,55.875
"4a",20,"4a_20",-14.725,55.9
"4a",21,"4a_21",-14.725,55.9
"4a",22,"4a_22",-14.75,55.9
"4a",23,"4a_23",-14.75,55.95
"4a",24,"4a_24",-14.725,55.95
"4a",25,"4a_25",-14.725,55.975
"4a",26,"4a_26",-14.725,56
"4a",27,"4a_27",-14.725,56.025
"4a",28,"4a_28",-14.725,56.05
"4a",29,"4a_29",-14.725,56.075
"4a",30,"4a_30",-14.7,56.075
"4a",31,"4a_31",-14.675,56.075
"4a",32,"4a_32",-14.675,56.05
"4a",33,"4a_33",-14.675,56.025
"4a",34,"4a_34",-14.65,56.025
"4a",35,"4a_35",-14.625,56.025
"4a",36,"4a_36",-14.6,56.025
"4a",37,"4a_37",-14.6,56.05
"4a",38,"4a_38",-14.575,56.05
"4a",39,"4a_39",-14.575,56.075
"4a",40,"4a_40",-14.575,56.1
"4a",41,"4a_41",-14.575,56.125
"4a",42,"4a_42",-14.6,56.125
"4a",43,"4a_43",-14.625,56.125
"4a",44,"4a_44",-14.65,56.125
"4a",45,"4a_45",-14.675,56.125
"4a",46,"4a_46",-14.675,56.15
"4a",47,"4a_47",-14.675,56.175
"4a",48,"4a_48",-14.7,56.175
"4a",49,"4a_49",-14.7,56.15
"4a",50,"4a_50",-14.75,56.15
"4a",51,"4a_51",-14.75,56.1
"4a",52,"4a_52",-14.8,56.1
"4a",53,"4a_53",-14.85,56.1
"4a",54,"4a_54",-14.85,56.05
"4a",55,"4a_55",-14.875,56.05
"4a",56,"4a_56",-14.875,56.05
"4a",57,"4a_57",-14.875,56.025
"4a",58,"4a_58",-14.9,56.025
"4a",59,"4a_59",-14.9,56
"4a",60,"4a_60",-14.9,55.95
"4a",61,"4a_61",-14.95,55.95
"4a",62,"4a_62",-14.975,55.95
"4b",1,"4b_1",-14.4,56.425
"4b",2,"4b_2",-14.375,56.425
"4b",3,"4b_3",-14.35,56.425
"4b",4,"4b_4",-14.325,56.425
"4b",5,"4b_5",-14.325,56.45
"4b",6,"4b_6",-14.325,56.475
"4b",7,"4b_7",-14.325,56.5
"4b",8,"4b_8",-14.325,56.5
"4b",9,"4b_9",-14.35,56.5
"4b",10,"4b_10",-14.35,56.45
"4b",11,"4b_11",-14.4,56.45
"4b",12,"4b_12",-14.4,56.425
"4b",13,"4b_13",-14.4,56.425
"4c",1,"4c_1",-14.3,56.525
"4c",2,"4c_2",-14.3,56.525
"4c",3,"4c_3",-14.275,56.525
"4c",4,"4c_4",-14.25,56.525
"4c",5,"4c_5",-14.225,56.525
"4c",6,"4c_6",-14.2,56.525
"4c",7,"4c_7",-14.175,56.525
"4c",8,"4c_8",-14.15,56.525
